There,there,there,321216,PRON,expl,True,0
should,should,should,288990,VERB,aux,True,0
be,be,be,29345,AUX,ROOT,True,0
a,a,a,0,DET,det,True,1
show,show,show,289042,NOUN,attr,True,1
about,about,about,756,ADP,prep,True,0
former,former,former,117417,ADJ,amod,True,1
celebs,celebs,celebs,50468,NOUN,pobj,False,1
in,in,in,149313,ADP,prep,True,0
a,a,a,0,DET,det,True,1
race,race,race,259309,NOUN,pobj,False,1
to,to,to,324862,PART,aux,True,0
design,design,design,82572,VERB,advcl,False,1
clothes,clothe,clothe,60488,NOUN,dobj,False,1
on,on,on,212644,ADP,prep,True,0
an,an,an,11448,DET,det,True,1
island,island,island,158694,NOUN,pobj,False,1
and,and,and,12285,CCONJ,cc,True,1
the,the,the,320691,DET,det,True,1
loser,loser,loser,175344,NOUN,nsubjpass,False,0
gets,get,get,124419,VERB,auxpass,False,0
fired,fire,fire,113100,VERB,conj,False,0
by,by,by,33133,ADP,agent,True,0
Chef,Chef,chef,53515,PROPN,compound,False,1
Ramsay,Ramsay,ramsey,260425,PROPN,pobj,False,1
